Period,Receipts,Outlays,Deficit/Surplus (-),Borrowing from the Public,Reduction of Operating Cash,By Other Means
11/30/95,"90,086","128,538","38,452",n/a,n/a,n/a
12/31/95,"138,347","133,064","-5,283",n/a,n/a,n/a
01/31/96,"142,999","123,543","-19,456",n/a,n/a,n/a
02/28/96,"89,428","133,775","44,346",n/a,n/a,n/a
03/31/96,"89,087","136,158","47,071",n/a,n/a,n/a
04/30/96,"203,468","131,064","-72,404",n/a,n/a,n/a
05/31/96,"90,122","143,173","53,051",n/a,n/a,n/a
06/30/96,"151,995","117,655","-34,340",n/a,n/a,n/a
07/31/96,"103,893","130,749","26,856",n/a,n/a,n/a
08/31/96,"99,996","141,828","41,831",n/a,n/a,n/a
09/30/96,"157,670","122,412","-35,257",n/a,n/a,n/a
10/31/96,"99,656","139,461","39,805",n/a,n/a,n/a
11/30/96,"97,850","135,728","37,878",n/a,n/a,n/a
12/31/96,"148,488","129,999","-18,490",n/a,n/a,n/a
01/31/97,"150,718","137,354","-13,364",n/a,n/a,n/a
02/28/97,"90,293","134,303","44,010",n/a,n/a,n/a
03/31/97,"108,074","129,397","21,323",n/a,n/a,n/a
04/30/97,"228,588","134,649","-93,939",n/a,n/a,n/a
05/31/97,"94,493","142,988","48,494",n/a,n/a,n/a
06/30/97,"173,361","118,726","-54,635",n/a,n/a,n/a
07/31/97,"109,178","134,802","25,624",n/a,n/a,n/a
08/31/97,"103,483","138,672","35,189",n/a,n/a,n/a
09/30/97,"174,772","r124,832","r-49,940",n/a,n/a,n/a
10/31/97,"114,898","r150,866","r35,968",n/a,n/a,n/a
11/30/97,"103,481","120,830","17,349",n/a,n/a,n/a
12/31/97,"167,998","154,359","-13,639",n/a,n/a,n/a
01/31/98,"162,610","137,231","-25,379",n/a,n/a,n/a
02/28/98,"97,952","139,701","41,750",n/a,n/a,n/a
03/31/98,"117,930","131,743","13,813",n/a,n/a,n/a
04/30/98,"261,002","136,400","-124,603",n/a,n/a,n/a
05/31/98,"95,278","134,057","r38,779",n/a,n/a,n/a
06/30/98,"r187,858","r136,752","-51,106",n/a,n/a,n/a
07/31/98,"119,723","143,807","24,084",n/a,n/a,n/a
08/31/98,"111,741","122,907","11,166",n/a,n/a,n/a
09/30/98,"r180,995","r143,569","r-37,425",n/a,n/a,n/a
10/01/98,"119,974","r152,413","r32,440",n/a,n/a,n/a
11/01/98,"113,978","r130,915","r16,937",n/a,n/a,n/a
12/01/98,"178,646","r183,803","r5,156",n/a,n/a,n/a
01/01/99,"r171,728","r101,223","r-70,505",n/a,n/a,n/a
02/01/99,"r99,502","r141,839","r42,337",n/a,n/a,n/a
03/01/99,"r130,416","r152,825","r22,409",n/a,n/a,n/a
04/01/99,"r266,229","r152,770","-113,459",n/a,n/a,n/a
05/01/99,"r98,663","r122,631","23,969",n/a,n/a,n/a
06/01/99,"r199,507","r145,939","-53,568",n/a,n/a,n/a
07/01/99,"r121,923","r147,086","25,164",n/a,n/a,n/a
08/01/99,r126324,r129127,"r2,803",n/a,n/a,n/a
09/01/99,"r200,413","r142,371","r-58,042",n/a,n/a,n/a
10/01/99,"121,035","r147,361","r26,326",n/a,n/a,n/a
11/01/99,"121,375","r148,406","27,031",n/a,n/a,n/a
12/01/99,"201,196","168,114","-33,081",n/a,n/a,n/a
01/01/00,"189,478","127,326","-62,152",n/a,n/a,n/a
02/01/00,"108,675","150,409","41,734",n/a,n/a,n/a
03/01/00,"135,582","170,962","35,380",n/a,n/a,n/a
04/01/00,"r295,151","r135,653","-159,497",n/a,n/a,n/a
05/01/00,"146,002","149,612","3,611",n/a,n/a,n/a
06/01/00,"214,875","r158,986","-55,888",n/a,n/a,n/a
07/01/00,"134,074","r129,013","-5,061",n/a,n/a,n/a
08/01/00,"138,128","148,555","10,427",n/a,n/a,n/a
09/01/00,"r219,490","r153,743","-65,747",n/a,n/a,n/a
10/01/00,"r135,836","r147,156","11,321",n/a,n/a,n/a
11/01/00,"125,666","149,356","23,690",n/a,n/a,n/a
12/01/00,"200,489","167,823","-32,666",n/a,n/a,n/a
